Date,Serial,Model,PartNumber,Status,Red Led X Status,Red Led X Time
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
20/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
21/11/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
01/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
11/11/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
11/11/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,False,,
11/11/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
16/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,False,,
12/12/2022,AL47272463-CKMX215211000042-AAB-A.02,Switchback,47272463+C,True,True,0.739900
15/12/2022,AL47272463-CKMX215212200086-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215212200086-AAB-A.02,Switchback,47272463+C,False,,
08/12/2022,AL47272463-CKMX215224100016-AAB-A.02,Switchback,,False,,
08/12/2022,AL47272463-CKMX215224100016-AAB-A.02,Switchback,47272463+C,True,True,0.739900
08/12/2022,AL47272463-CKMX215224100022-AAB-A.02,Switchback,47272463+C,True,True,0.739900
